DateTime,AddedIPs,RemovedIPs
1546020904,2,1
1546024503,3,5
1546027873,1,5
1546031704,3,4
1546035071,3,2
1546038022,256,256
1546038681,2,1
1546041002,256,256
1546042509,16,2
1546046108,9,1
1546049489,1,1
1546054216,2,7
1546056903,0,8
1546060802,2,1
1546064102,2,1
1546067506,2,2
1546071134,1,0
1546074902,0,3
1546077603,256,256
1546078503,2,0
1546082402,1,2
1546085704,1,0
1546088402,1024,70912
1546089304,4,0
1546092905,0,2
1546096503,3,0
1546100102,3,5
1546103715,3,5
1546104903,768,768
1546107302,3,2
1546110904,0,3
1546114502,3,3
1546118160,1,1
1546121702,2,1
1546125302,3,4
1546126215,256,256
1546128906,10,0
1546132502,8,2
1546136102,1,6
1546139485,2,9
1546143303,2,21
1546146903,3,4
1546150504,1,0
1546157703,1,1
1546161303,2,2
1546164688,3,2
1546168503,4,1
1546172102,3,2
1546174804,5632,5888
1546176002,2,3
1546179078,0,1
1546182653,2,1
1546186516,1,3
1546188602,512,512
1546190118,2,0
1546193482,2,1
1546197069,2,3
1546198802,256,256
1546200699,0,2
1546204503,5,2
1546205702,256,256
1546208108,2,2
1546211475,4,2
1546215131,4,2
1546218704,16,2
1546222318,2,4
1546226102,5,10
1546229509,1,24
1546233304,6,6
1546236688,4,5
1546239602,0,1024
1546240513,4,5
1546243870,4,1
1546247704,2,3
1546251302,2,2
1546254903,4,1
1546258503,1,5
1546260902,4096,0
1546262402,2,1
1546265482,0,2
1546269349,3,2
1546271469,512,512
1546272681,3,1
1546276298,1,0
1546279907,1,1
1546283519,1,5
1546287077,2,3
1546290723,2,3
1546294266,0,1
1546298103,3,2
1546301703,21,2
1546305303,5,2
1546308905,3,3
1546312509,1,14
1546316606,2,1
1546319703,1,1
1546323312,2,0
1546326903,1,2
1546330502,2,3
1546334103,0,2
1546337703,1,2
1546341304,3,0
1546345208,1,1
1546348201,0,7680
1546348502,1,1
1546352104,1,1
1546355402,768,768
1546355706,1,1
1546359302,4,3
1546362903,4,2
1546370102,1,3
1546373703,0,2
1546377303,2,2
1546380905,1,1
1546384504,3,0
1546388108,14,2
1546391712,4,3
1546395108,3,2
1546398903,2,10
1546402315,3,1
1546406103,2,5
1546410002,2,2
1546413303,5,11
1546416902,5,1
1546420300,0,3
1546424102,1,4
1546427714,4,3
1546431304,1,0
1546433710,3328,2048
1546434904,4,4
1546438502,1,1
1546442103,3,3
1546445702,2,2
1546449305,4,4
1546450802,255,0
1546452951,6,3
1546456858,13,0
1546460402,2,5
1546463523,4,3
1546467303,0,2
