DateTime,AddedIPs,RemovedIPs
1547098923,14,0
1547099524,37,0
1547100123,4,0
1547101323,3,0
1547102523,26,0
1547103723,35,0
1547104923,38,0
1547105523,10,0
1547106123,4,0
1547107323,6,1
1547108523,8,0
1547109723,6,0
1547110923,9,0
1547111523,10,0
1547112123,5,0
1547112723,33,1
1547113325,1,0
1547113924,26,0
1547114523,50,0
1547115123,38,0
1547115723,9,0
1547116323,31,0
1547116923,28,0
1547118123,61,0
1547118724,27,0
1547119323,18,0
1547119922,21,0
1547120523,1,0
1547121123,4,0
1547121723,15,0
1547122924,67,0
1547124123,2,0
1547124724,44,0
1547125323,46,0
1547126523,45,0
1547127123,60,0
1547127723,54,0
1547128923,32,0
1547129524,25,0
1547130124,37,0
1547130723,2,0
1547131323,46,0
1547131924,66,0
1547132523,52,0
1547133124,60,0
1547133723,47,0
1547134323,9,0
1547134923,4,0
1547135523,32,0
1547136123,70,0
1547136723,2,0
1547137324,43,0
1547137924,68,0
1547138523,74,0
1547139723,67,0
1547140324,65,0
1547140923,42,0
1547142123,41,0
1547143323,49,0
1547143924,48,0
1547144523,39,0
1547145124,38,0
1547145723,33,0
1547146922,5,0
1547147523,2,0
1547148123,3,0
1547149209,178,47
1547150523,1,0
1547151723,7,0
1547152924,20,0
1547154123,1,0
1547154723,2,0
1547155323,5,0
1547156523,3,0
1547158923,4,0
1547160123,5,0
1547160722,5,0
1547161323,3,0
1547161923,3,0
1547163724,1,0
1547164924,1,0
1547166122,2,0
1547167322,3,0
1547168524,8,0
1547169724,1,0
1547170324,2,0
1547170923,4,0
1547171523,4,0
1547172123,1,0
1547172723,3,0
1547173325,2,0
1547174522,6,0
1547175124,2,0
1547175723,5,0
1547176923,4,0
1547177522,2,0
1547178123,3,0
1547179323,3,0
1547180523,1,0
1547181123,1,0
1547181723,1,0
1547182323,2,0
1547182924,5,0
1547183523,1,0
1547184124,14,0
1547184724,1,0
1547185323,1,0
1547186523,2,0
1547187123,7,0
1547187722,3,0
1547188323,2,0
1547188923,2,0
1547190124,24,0
1547190723,1,0
1547191323,8,0
1547191922,3,0
1547192523,2,0
1547193723,8,0
1547195523,4,0
1547196124,4,0
1547197323,2,0
1547199122,1,0
1547199723,1,0
1547200923,2,0
1547201523,2,0
1547202123,4,0
1547203323,1,0
1547204523,2,0
1547205123,2,0
1547205723,1,0
1547206322,1,0
1547206923,1,0
1547209322,2,0
1547209923,1,0
1547210522,2,0
1547211123,1,0
1547212323,1,0
1547212923,2,0
1547214122,4,0
1547215323,9,0
1547215923,3,0
1547216523,2,0
1547217122,3,0
1547217722,4,0
1547218924,2,0
1547219523,2,0
1547220123,3,0
1547221924,5,0
1547222522,1,0
1547223723,2,0
1547224923,1,0
1547226723,4,0
1547227323,2,0
1547228523,2,0
1547229723,4,0
1547232124,3,0
1547232723,5,0
1547233323,1,0
1547233923,11,0
1547234523,1,0
1547235723,1,0
1547237524,3,0
1547238123,1,0
1547238723,4,0
1547239322,1,0
1547240523,1,0
1547241723,4,0
1547242923,2,0
1547244123,4,0
1547244723,2,0
1547245323,1,0
1547246523,3,0
1547247723,1,0
1547248922,2,0
1547249523,4,0
1547250123,1,0
1547251324,2,0
1547251923,2,0
1547252523,3,0
1547253123,10,0
1547254923,1,0
1547255523,1,0
1547257323,1,0
1547257922,4,0
1547258522,18,0
1547259123,4,0
1547259723,1,0
1547260924,4,0
1547262123,4,0
1547263323,1,1
1547264523,1,0
1547265722,1,0
1547266923,3,0
1547268123,4,0
1547268722,2,0
1547269323,1,0
1547270523,5,0
1547271723,2,0
